,Date,Date_Time,StateCode,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Series_Complete_Pop_Pct,Series_Complete_12PlusPop_Pct,Series_Complete_18PlusPop_Pct,Series_Complete_65PlusPop_Pct,FIPS,State,Population,Party,Pop_Density
0,7/11/2021,7/11/2021,FL,21527263,21519017,20764735,7906498,1048774,8579143,11846137,53209,100231,115099,120391,175804,21237913,47,53.9,56.7,79,12,Florida,21538187,Republican,401.4
1,7/11/2021,7/11/2021,IA,3073527,3073495,2932330,959982,128869,1297742,1646788,128,97415,114842,120760,173610,3069562,48.7,57.4,60.7,85.9,19,Iowa,3190369,Republican,57.1
2,7/11/2021,7/11/2021,WI,6017859,6017495,5732822,1837143,240681,2470502,3306004,672,103356,120355,125835,180600,5974955,50.7,59,62,87.4,55,Wisconsin,5893718,Democrat,108.8
3,7/11/2021,7/11/2021,MO,5209747,5209418,4999072,1645444,174610,1977373,3057298,466,84885,99498,104872,154933,5114570,39.7,46.6,49.4,73.4,29,Missouri,6154913,Republican,89.5
4,7/11/2021,7/11/2021,ND,649904,648878,626843,193965,29064,276837,344003,0,85282,101825,107725,161847,618847,39.4,47,50,74.5,38,North Dakota,779094,Republican,11.3
5,7/11/2021,7/11/2021,VA,9391655,9361482,8800035,2277908,337197,3579333,5472545,2580,110030,128117,131842,167628,9412921,52.9,61.6,63.7,81.4,51,Virginia,8631393,Democrat,218.6
7,7/11/2021,7/11/2021,KS,2525660,2525536,2422840,786200,84847,1104090,1335984,739,86694,103012,109479,165346,2631166,42.6,50.7,54.1,79.6,20,Kansas,2937880,Republican,35.9
8,7/11/2021,7/11/2021,NJ,10029522,10028856,9460200,2411388,379476,4046434,5603583,29,112917,131640,136243,163425,10332551,56.4,65.7,68.4,82.2,34,New Jersey,9288994,Democrat,1263
10,7/11/2021,7/11/2021,MD,6999531,6999182,6563809,1665706,268829,2704709,4018581,7412,115777,135567,139330,173620,7040142,57.2,67,69.2,87,24,Maryland,6177224,Democrat,636.1
11,7/11/2021,7/11/2021,WY,434914,434892,420929,146212,17846,205786,211049,233,75146,88623,94585,147422,426424,35.7,42.1,45.1,72.7,56,Wyoming,576851,Republican,5.9
