,State,County,latitude,longitude
0,NY,Suffolk,40.81,-73.04
2,PR,Adjuntas,18.16,-66.72
4,PR,Aguadilla,18.43,-67.15
7,PR,Maricao,18.18,-66.98
10,PR,Arecibo,18.45,-66.73
14,PR,Barceloneta,18.45,-66.53
65,PR,Patillas,18,-66.01
70,PR,CanÃ³vanas,18.37,-65.9
88,PR,Santa Isabel,17.97,-66.4
104,PR,Aibonito,18.16,-66.23
150,PR,San Juan,18.4,-66.06
163,PR,Toa Baja,18.42,-66.19
164,PR,Toa Alta,18.39,-66.25
167,PR,BayamÃ³n,18.28,-66.13
173,PR,CataÃ±o,18.43,-66.11
175,PR,Guaynabo,18.38,-66.11
182,PR,Trujillo Alto,18.36,-66.01
185,PR,Carolina,18.4,-65.98
194,MA,Hampden,42.06,-72.61
195,MA,Hampshire,42.37,-72.52
198,MA,Worcester,42.42,-72.1
213,MA,Berkshire,42.17,-73.03
229,MA,Franklin,42.45,-72.5
360,MA,Middlesex,42.68,-71.81
495,MA,Essex,42.65,-71.14
577,MA,Plymouth,42.17,-70.88
578,MA,Norfolk,42.09,-71.47
585,MA,Bristol,42.02,-71.17
616,MA,Suffolk,42.35,-71.06
784,MA,Barnstable,41.75,-70.61
786,MA,Dukes,41.34,-70.74
797,MA,Nantucket,41.27,-70.1
900,RI,Newport,41.51,-71.16
901,RI,Providence,41.95,-71.45
902,RI,Washington,41.42,-71.78
903,RI,Bristol,41.73,-71.31
911,RI,Kent,41.68,-71.66
992,NH,Hillsborough,42.86,-71.61
993,NH,Rockingham,43,-71.34
1005,NH,Merrimack,43.1,-71.59
1041,NH,Grafton,43.95,-71.5
1044,NH,Belknap,43.33,-71.29
1052,NH,Carroll,43.83,-71.47
1094,NH,Sullivan,43.17,-72.09
1112,NH,Cheshire,42.95,-72.29
1141,NH,Coos,44.48,-71.25
1154,NH,CoÃ¶s,44.27,-71.3
1210,NH,Strafford,43.26,-71.11
1277,ME,York,43.26,-70.86
1290,ME,Cumberland,43.73,-69.99
1295,ME,Sagadahoc,44.01,-69.89
1297,ME,Oxford,43.93,-70.9
1381,ME,Androscoggin,44.08,-70.24
1392,ME,Franklin,44.62,-70.25
1414,ME,Kennebec,44.23,-70.01
1446,ME,Lincoln,44.27,-69.49
1459,ME,Waldo,44.4,-69.47
1467,ME,Penobscot,44.83,-68.78
1469,ME,Piscataquis,45.18,-69.45
1470,ME,Hancock,44.85,-68.32
1474,ME,Washington,45.52,-67.76
1501,ME,Aroostook,45.54,-68.2
1522,ME,Somerset,45.67,-69.74
1544,ME,Knox,43.98,-69.33
1765,VT,Windsor,43.65,-72.32
1770,VT,Orange,43.99,-72.12
1779,VT,Caledonia,44.19,-72.07
1819,VT,Windham,43.13,-72.45
1829,VT,Bennington,43.23,-72.89
1874,VT,Chittenden,44.48,-73.22
1883,VT,Grand Isle,44.97,-73.3
1884,VT,Franklin,44.78,-72.8
1885,VT,Lamoille,44.75,-72.68
1886,VT,Addison,44.13,-73.08
1937,VT,Washington,44.26,-72.57
1980,VT,Rutland,43.6,-72.97
2004,CT,Hartford,41.87,-72.67
2027,VT,Orleans,44.73,-72.38
2031,VT,Essex,44.43,-71.88
2086,CT,Litchfield,42.03,-73.33
2097,CT,Tolland,41.9,-72.46
2206,CT,Windham,41.71,-72.21
2224,CT,New London,41.66,-72.24
2289,CT,New Haven,41.34,-73.06
2291,CT,Fairfield,41.39,-73.31
2294,CT,Middlesex,41.34,-72.41
2471,NJ,Bergen,40.85,-74.08
2521,NJ,Middlesex,40.58,-74.27
2522,NJ,Hudson,40.66,-74.11
2523,NJ,Essex,40.81,-74.18
2525,NJ,Morris,40.9,-74.4
2531,NJ,Passaic,40.86,-74.15
2537,NJ,Union,40.65,-74.3
2573,NJ,Somerset,40.63,-74.51
2660,NJ,Sussex,41.11,-74.58
2760,NJ,Monmouth,40.34,-74.06
2813,NJ,Warren,40.91,-74.83
2822,NJ,Hunterdon,40.71,-74.83
2901,NJ,Salem,39.56,-75.34
2902,NJ,Camden,39.9,-74.99
2905,NJ,Ocean,39.75,-74.22
2910,NJ,Burlington,40.06,-74.92
2913,NJ,Gloucester,39.8,-75.34
2935,NJ,Atlantic,39.65,-74.77
3004,NJ,Cape May,39.09,-74.73
3040,NJ,Cumberland,39.42,-75.22
3094,NJ,Mercer,40.26,-74.52
3669,NY,New York,40.71,-73.99
3788,NY,Kings,40.64,-73.94
3835,NY,Richmond,40.58,-74.14
3849,NY,Bronx,40.84,-73.87
3876,NY,Westchester,41.29,-73.76
3883,NY,Putnam,41.39,-73.61
3969,NY,Rockland,41.11,-74.14
3970,NY,Orange,41.22,-74.18
4037,NY,Nassau,40.72,-73.7
4038,NY,Queens,40.72,-73.7
4387,NY,Albany,42.45,-74.03
4388,NY,Schenectady,42.85,-73.9
4390,NY,Montgomery,42.94,-74.19
4391,NY,Greene,42.26,-73.81
4393,NY,Columbia,42.32,-73.47
4394,NY,Rensselaer,42.63,-73.55
4395,NY,Saratoga,42.92,-73.84
4400,NY,Fulton,43.05,-74.19
4404,NY,Schoharie,42.74,-74.45
4424,NY,Washington,42.94,-73.39
4431,NY,Otsego,42.61,-74.67
4460,NY,Hamilton,43.55,-74.43
4503,NY,Delaware,42.4,-74.61
4592,NY,Ulster,41.93,-73.99
4675,NY,Dutchess,41.84,-73.55
4754,NY,Sullivan,41.65,-74.68
4815,NY,Warren,43.31,-73.64
4854,NY,Essex,43.78,-73.97
4882,NY,Clinton,44.69,-73.45
4888,NY,Franklin,44.93,-74.59
4896,NY,St Lawrence,44.28,-74.67
4956,NY,Onondaga,42.81,-76.07
4957,NY,Cayuga,42.93,-76.56
4962,NY,Oswego,43.29,-75.93
4964,NY,Madison,42.91,-76.75
4973,NY,Cortland,42.54,-75.89
4975,NY,Oneida,43.23,-75.88
4981,NY,Tompkins,42.49,-76.29
4990,NY,Seneca,42.81,-76.8
5032,NY,Chenango,42.65,-75.81
5045,NY,Wayne,43.24,-76.72
5098,NY,Lewis,43.87,-75.44
5115,NY,Herkimer,43.24,-75.03
5224,NY,Jefferson,43.97,-75.91
5267,NY,St. Lawrence,44.92,-74.72
5314,NY,Tioga,42.07,-76.16
5318,NY,Broome,42.1,-75.97
5410,NY,Erie,43.01,-78.49
5412,NY,Genesee,42.9,-78.26
5414,NY,Niagara,43.31,-78.63
5415,NY,Wyoming,42.53,-78.43
5427,NY,Allegany,42.47,-78.25
5439,NY,Cattaraugus,42.42,-78.98
5443,NY,Chautauqua,42.47,-79.33
5474,NY,Orleans,43.32,-78.38
5565,NY,Monroe,43.19,-77.86
5568,NY,Livingston,42.91,-77.74
5569,NY,Yates,42.75,-77.01
5575,NY,Ontario,42.88,-77.28
5641,NY,Steuben,42.53,-77.62
5799,NY,Schuyler,42.31,-76.72
5807,NY,Chemung,42.13,-76.93
5882,PA,Beaver,40.61,-80.25
5884,PA,Washington,40.39,-80.44
5886,PA,Allegheny,40.54,-79.83
5890,PA,Westmoreland,40.12,-79.86
6069,PA,Greene,39.82,-80.45
6125,PA,Fayette,39.89,-79.72
6127,PA,Somerset,39.74,-79.33
6153,PA,Monongalia,39.74,-79.81
6203,PA,Bedford,40.19,-78.62
6211,PA,Fulton,39.93,-78.21
6249,PA,Armstrong,40.52,-79.47
6299,PA,Indiana,40.48,-79.44
6319,PA,Jefferson,41.01,-78.96
6322,PA,Cambria,40.66,-78.78
6327,PA,Clearfield,40.81,-78.78
6382,PA,Elk,41.31,-78.33
6388,PA,Forest,41.32,-79.14
6391,PA,Cameron,41.34,-78.13
6458,PA,Butler,40.86,-79.89
6471,PA,Clarion,40.98,-79.61
6500,PA,Lawrence,40.99,-80.34
6506,PA,Crawford,41.5,-80.37
6509,PA,Mercer,41.28,-80.4
6527,PA,Mahoning,41.1,-80.5
6590,PA,Venango,41.42,-79.7
6592,PA,Warren,41.95,-79.3
6607,PA,McKean,41.73,-78.95
6639,PA,Erie,41.88,-80.36
6703,PA,Blair,40.5,-78.4
