name,party,description,latitude,longitude
Alabama,Republican,Montgomery,32.377716,-86.300568
Alaska,Republican,Juneau,58.301598,-134.420212
Arizona,Democrat,Phoenix,33.448143,-112.096962
Arkansas,Republican,Little Rock,34.746613,-92.288986
California,Democrat,Sacramento,38.576668,-121.493629
Colorado,Democrat,Denver,39.739227,-104.984856
Connecticut,Democrat,Hartford,41.764046,-72.682198
Delaware,Democrat,Dover,39.157307,-75.519722
Florida,Republican,Tallahassee,30.438118,-84.281296
Georgia,Democrat,Atlanta<br>,33.749027,-84.388229
Hawaii,Democrat,Honolulu,21.307442,-157.857376
Idaho,Republican,Boise,43.617775,-116.199722
Illinois,Democrat,Springfield,39.798363,-89.654961
Indiana,Republican,Indianapolis,39.768623,-86.162643
Iowa,Republican,Des Moines,41.591087,-93.603729
Kansas,Republican,Topeka,39.048191,-95.677956
Kentucky,Republican,Frankfort,38.186722,-84.875374
Louisiana,Republican,Baton Rouge,30.457069,-91.187393
Maine,Democrat,Augusta,44.307167,-69.781693
Maryland,Democrat,Annapolis,38.978764,-76.490936
Massachusetts,Democrat,Boston,42.358162,-71.063698
Michigan,Democrat,Lansing,42.733635,-84.555328
Minnesota,Democrat,St. Paul,44.955097,-93.102211
Mississippi,Republican,Jackson,32.303848,-90.182106
Missouri,Republican,Jefferson City,38.579201,-92.172935
Montana,Republican,Helena,46.585709,-112.018417
Nebraska,Republican,Lincoln,40.808075,-96.699654
Nevada,Democrat,Carson City,39.163914,-119.766121
New Hampshire,Democrat,Concord,43.206898,-71.537994
New Jersey,Democrat,Trenton,40.220596,-74.769913
New Mexico,Democrat,Santa Fe,35.68224,-105.939728
New York,Democrat,Albany,42.652843,-73.757874
North Carolina,Republican,Raleigh,35.78043,-78.639099
North Dakota,Republican,Bismarck,46.82085,-100.783318
Ohio,Republican,Columbus,39.961346,-82.999069
Oklahoma,Republican,Oklahoma City,35.492207,-97.503342
Oregon,Democrat,Salem,44.938461,-123.030403
Pennsylvania,Democrat,Harrisburg,40.264378,-76.883598
Rhode Island,Democrat,Providence,41.830914,-71.414963
South Carolina,Republican,Columbia,34.000343,-81.033211
South Dakota,Republican,Pierre,44.367031,-100.346405
Tennessee,Republican,Nashville,36.16581,-86.784241
Texas,Republican,Austin,30.27467,-97.740349
Utah,Republican,Salt Lake City,40.777477,-111.888237
Vermont,Democrat,Montpelier,44.262436,-72.580536
Virginia,Democrat,Richmond,37.538857,-77.43364
Washington,Democrat,Olympia,47.035805,-122.905014
West Virginia,Republican,Charleston,38.336246,-81.612328
Wisconsin,Democrat,Madison,43.074684,-89.384445
Wyoming,Republican,Cheyenne,41.140259,-104.820236
